rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
9;[9];Institute of Economics and Industrial Engineering, Siberian Branch, Russian Academy of Sciences (RAS)Novosibirsk, Russia;http://edirc.repec.org/data/iirasru.html;Institute of Economics and Industrial Engineering, Siberian Branch, Russian Academy of Sciences (RAS);20.34;12;9.43;http://ideas.repec.org/top/top.russia.html;
10;[10];Department of Economics, European University at St. PetersburgSt. Petersburg, Russia;http://edirc.repec.org/data/feeusru.html;Department of Economics, European University at St. Petersburg;21.02;15;10.68;http://ideas.repec.org/top/top.russia.html;
---;[---];Faculty of Economics, Saint Petersburg Branch, National Research University Higher School of EconomicsSt. Petersburg, Russia;http://edirc.repec.org/data/fshseru.html;Faculty of Economics, Saint Petersburg Branch, National Research University Higher School of Economics;21.19;4;3.1;http://ideas.repec.org/top/top.russia.html;
---;[---];International Research Laboratory for Institutional Analysis of Economic Reforms, Center for Institutional Studies, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/irhseru.html;International Research Laboratory for Institutional Analysis of Economic Reforms, Center for Institutional Studies, National Research University Higher School of Economics;21.57;11;8.72;http://ideas.repec.org/top/top.russia.html;
---;[---];International Laboratory of Stochastic Analysis, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/sahseru.html;International Laboratory of Stochastic Analysis, National Research University Higher School of Economics;21.75;7;4.75;http://ideas.repec.org/top/top.russia.html;
11;[11];Economics Department, Novosibirsk State UniversityNovosibirsk, Russia;http://edirc.repec.org/data/ednskru.html;Economics Department, Novosibirsk State University;25.61;10;3.97;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Applied Analysis of Institutions and Social Capital, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/lahseru.html;Laboratory for Applied Analysis of Institutions and Social Capital, National Research University Higher School of Economics;27.12;3;2.25;http://ideas.repec.org/top/top.russia.html;
---;[---];Perm Branch, National Research University Higher School of EconomicsPerm, Russia;http://edirc.repec.org/data/pehseru.html;Perm Branch, National Research University Higher School of Economics;27.39;13;9.37;http://ideas.repec.org/top/top.russia.html;
---;[---];Research Laboratory for Economics of Innovation, Institute for Statistical Studies and Economics of Knowledge (ISSEK), National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/lehseru.html;Research Laboratory for Economics of Innovation, Institute for Statistical Studies and Economics of Knowledge (ISSEK), National Research University Higher School of Economics;27.93;4;3;http://ideas.repec.org/top/top.russia.html;
12;[12];Faculty of Economics, M. V. Lomonosov Moscow State UniversityMoscow, Russia;http://edirc.repec.org/data/femsuru.html;Faculty of Economics, M. V. Lomonosov Moscow State University;28.37;36;31.61;http://ideas.repec.org/top/top.russia.html;
13;[13];Financial University under the Government of the Russian FederationMoscow, Russia;http://edirc.repec.org/data/fugrfru.html;Financial University under the Government of the Russian Federation;28.9;46;42.72;http://ideas.repec.org/top/top.russia.html;
---;[---];International Laboratory of Intangible-driven Economy, Perm Branch, National Research University Higher School of EconomicsPerm, Russia;http://edirc.repec.org/data/idlabru.html;International Laboratory of Intangible-driven Economy, Perm Branch, National Research University Higher School of Economics;29.06;10;4.73;http://ideas.repec.org/top/top.russia.html;
14;[15];St. Petersburg Institute for Economics and Mathematics, Russian Academy of Sciences (RAS)St. Petersburg, Russia;http://edirc.repec.org/data/iesraru.html;St. Petersburg Institute for Economics and Mathematics, Russian Academy of Sciences (RAS);30.14;8;3.89;http://ideas.repec.org/top/top.russia.html;
15;[18];Ural State University of EconomicsRussia;http://edirc.repec.org/data/usueeru.html;Ural State University of Economics;30.64;3;2.33;http://ideas.repec.org/top/top.russia.html;
---;[---];Centre for Advanced Studies, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/cahseru.html;Centre for Advanced Studies, National Research University Higher School of Economics;30.76;5;3.2;http://ideas.repec.org/top/top.russia.html;
16;[14];Ministry of Economic Development and Trade, Government of the Russian FederationMoscow, Russia;http://edirc.repec.org/data/mecgvru.html;Ministry of Economic Development and Trade, Government of the Russian Federation;30.77;8;2.92;http://ideas.repec.org/top/top.russia.html;
---;[---];Russian Foreign Trade Academy, Ministry of Economic Development and Trade, Government of the Russian FederationMoscow, Russia;http://edirc.repec.org/data/vavtmru.html;Russian Foreign Trade Academy, Ministry of Economic Development and Trade, Government of the Russian Federation;30.77;8;2.92;http://ideas.repec.org/top/top.russia.html;
17;[16];Graduate School of Management, St. Petersburg State UniversitySt. Petersburg, Russia;http://edirc.repec.org/data/sompuru.html;Graduate School of Management, St. Petersburg State University;31.76;24;24;http://ideas.repec.org/top/top.russia.html;
---;[---];International Center for the Study of Institutions and Development (CSID), National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/idhseru.html;International Center for the Study of Institutions and Development (CSID), National Research University Higher School of Economics;32.71;5;3.7;http://ideas.repec.org/top/top.russia.html;
18;[17];Central Bank of the Russian FederationMoscow, Russia;http://edirc.repec.org/data/cbrgvru.html;Central Bank of the Russian Federation;32.76;4;4;http://ideas.repec.org/top/top.russia.html;
---;[---];International Laboratory of Decision Choice and Analysis, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/ldhseru.html;International Laboratory of Decision Choice and Analysis, National Research University Higher School of Economics;33.26;12;7.05;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Comparative Social Research, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/lshseru.html;Laboratory for Comparative Social Research, National Research University Higher School of Economics;33.63;10;4.39;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Studies in Economic Sociology, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/sohseru.html;Laboratory for Studies in Economic Sociology, National Research University Higher School of Economics;34.09;10;8.75;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Analysis and Forecast of Economic Processes, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/afhseru.html;Laboratory for Analysis and Forecast of Economic Processes, National Research University Higher School of Economics;35.77;14;12.6;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Macroeconomic Analysis, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/mahseru.html;Laboratory for Macroeconomic Analysis, National Research University Higher School of Economics;36.6;10;6.34;http://ideas.repec.org/top/top.russia.html;
19;[19];Centre for Integration Studies, Eurasian Development BankSt. Petersburg, Russia;http://edirc.repec.org/data/ciedbru.html;Centre for Integration Studies, Eurasian Development Bank;37.86;1;1;http://ideas.repec.org/top/top.russia.html;
---;[---];Department of Theoretical Economics, Faculty of Economics, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/dthseru.html;Department of Theoretical Economics, Faculty of Economics, National Research University Higher School of Economics;40.33;4;3.5;http://ideas.repec.org/top/top.russia.html;
20;[20];Department of Applied Economics, Moscow State Institute of International Relations (MGIMO)Moscow, Russia;http://edirc.repec.org/data/damgiru.html;Department of Applied Economics, Moscow State Institute of International Relations (MGIMO);42.58;2;2;http://ideas.repec.org/top/top.russia.html;
21;[22];Interdepartmental Analytical CenterMoscow, Russia;http://edirc.repec.org/data/iacmoru.html;Interdepartmental Analytical Center;45.64;4;2.45;http://ideas.repec.org/top/top.russia.html;
22;[23];Plekhanov Russian University of EconomicsMoscow, Russia;http://edirc.repec.org/data/replaru.html;Plekhanov Russian University of Economics;47.14;10;9.5;http://ideas.repec.org/top/top.russia.html;
23;[21];Faculty of Economics, Southern Federal UniversityRostov-Don, Russia;http://edirc.repec.org/data/fecrsru.html;Faculty of Economics, Southern Federal University;48;4;4;http://ideas.repec.org/top/top.russia.html;
24;[24];Siberian University of Consumer CooperationNovosibirsk, Russia;http://edirc.repec.org/data/sibupru.html;Siberian University of Consumer Cooperation;48.14;5;5;http://ideas.repec.org/top/top.russia.html;
---;[---];Development Center, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/dchseru.html;Development Center, National Research University Higher School of Economics;49.57;5;5;http://ideas.repec.org/top/top.russia.html;
---;[---];Faculty of World Economy and International Affairs, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/fwhseru.html;Faculty of World Economy and International Affairs, National Research University Higher School of Economics;50.01;3;1.55;http://ideas.repec.org/top/top.russia.html;
---;[---];Institute of Social Policy and Socio-Economic Programmes, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/sshseru.html;Institute of Social Policy and Socio-Economic Programmes, National Research University Higher School of Economics;51.7;3;3;http://ideas.repec.org/top/top.russia.html;
25;[25];Institute of Economic Forecasting, Russian Academy of Sciences (RAS)Moscow, Russia;http://edirc.repec.org/data/ierasru.html;Institute of Economic Forecasting, Russian Academy of Sciences (RAS);54.43;3;2.4;http://ideas.repec.org/top/top.russia.html;
---;[---];Nizhny Novgorod Branch, National Research University Higher School of EconomicsNizhny Novgorod, Russia;http://edirc.repec.org/data/nnhseru.html;Nizhny Novgorod Branch, National Research University Higher School of Economics;54.73;2;1.5;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Public Sector Economic Research, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/lphseru.html;Laboratory for Public Sector Economic Research, National Research University Higher School of Economics;54.78;4;3;http://ideas.repec.org/top/top.russia.html;
26;[27];Graduate School of Economics and Management, Ural Federal UniversityYekaterinburg, Russia;http://edirc.repec.org/data/seurfru.html;Graduate School of Economics and Management, Ural Federal University;55.68;4;1.6;http://ideas.repec.org/top/top.russia.html;
27;[26];Faculty of Economics, Institute of Economics, Management and Law (IEML)Kazan, Russia;http://edirc.repec.org/data/iemlkru.html;Faculty of Economics, Institute of Economics, Management and Law (IEML);55.74;2;2;http://ideas.repec.org/top/top.russia.html;
28;[28];Institute of World Economy and International Relations, Russian Academy of Sciences (RAS)Moscow, Russia;http://edirc.repec.org/data/dwrasru.html;Institute of World Economy and International Relations, Russian Academy of Sciences (RAS);56.21;3;3;http://ideas.repec.org/top/top.russia.html;
29;[30];Skolkovo School of ManagementMoscow, Russia;http://edirc.repec.org/data/skolkru.html;Skolkovo School of Management;56.77;1;0.2;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Labor Market Studies, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/llhseru.html;Laboratory for Labor Market Studies, National Research University Higher School of Economics;59.24;4;3;http://ideas.repec.org/top/top.russia.html;
---;[---];Laboratory for Anticorruption Policy, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/lchseru.html;Laboratory for Anticorruption Policy, National Research University Higher School of Economics;60.34;1;1;http://ideas.repec.org/top/top.russia.html;
30;[31];All-Russian institute of agrarian problems and information theory (VIAPI)Moscow, Russia;http://edirc.repec.org/data/viapiru.html;All-Russian institute of agrarian problems and information theory (VIAPI);62.98;3;2;http://ideas.repec.org/top/top.russia.html;
---;[---];Research Group on Macro-structural Modeling of the Russian Economy, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/rmhseru.html;Research Group on Macro-structural Modeling of the Russian Economy, National Research University Higher School of Economics;63.32;3;3;http://ideas.repec.org/top/top.russia.html;
31;[32];Rostov State University of EconomicsRostov-Don, Russia;http://edirc.repec.org/data/rsuerru.html;Rostov State University of Economics;63.47;2;2;http://ideas.repec.org/top/top.russia.html;
---;[---];Corporate Finance Center, National Research University Higher School of EconomicsMoscow, Russia;http://edirc.repec.org/data/cdhseru.html;Corporate Finance Center, National Research University Higher School of Economics;63.73;2;0.8;http://ideas.repec.org/top/top.russia.html;
32;[29];Faculty of Economics, People's Friendship University of RussiaMoscow, Russia;http://edirc.repec.org/data/depfuru.html;Faculty of Economics, People's Friendship University of Russia;64.04;2;2;http://ideas.repec.org/top/top.russia.html;
1;[1];Delhi School of Economics, University of DelhiDelhi, India;http://edirc.repec.org/data/seudein.html;Delhi School of Economics, University of Delhi;1.27;26;23.54;http://ideas.repec.org/top/top.india.html;
2;[2];Indian Statistical InstituteNew Delhi, India;http://edirc.repec.org/data/isindin.html;Indian Statistical Institute;2.37;17;16.28;http://ideas.repec.org/top/top.india.html;
---;[---];Department of Economics, Delhi School of Economics, University of DelhiDelhi, India;http://edirc.repec.org/data/deudein.html;Department of Economics, Delhi School of Economics, University of Delhi;3.05;21;18.37;http://ideas.repec.org/top/top.india.html;
---;[---];Planning Unit, Indian Statistical InstituteNew Delhi, India;http://edirc.repec.org/data/puisiin.html;Planning Unit, Indian Statistical Institute;4.09;12;11.28;http://ideas.repec.org/top/top.india.html;
3;[3];Indian Statistical InstituteCalcutta, India;http://edirc.repec.org/data/isicain.html;Indian Statistical Institute;4.15;19;18.5;http://ideas.repec.org/top/top.india.html;
4;[4];National Institute of Public Finance and PolicyNew Delhi, India, India;http://edirc.repec.org/data/nipfpin.html;National Institute of Public Finance and Policy;5.5;31;26.88;http://ideas.repec.org/top/top.india.html;
---;[---];Economic Research Unit, Indian Statistical InstituteCalcutta, India;http://edirc.repec.org/data/eruisin.html;Economic Research Unit, Indian Statistical Institute;5.64;15;14.5;http://ideas.repec.org/top/top.india.html;
5;[5];Centre for Studies in Social SciencesKolkata, India;http://edirc.repec.org/data/cssskin.html;Centre for Studies in Social Sciences;7.33;10;8.61;http://ideas.repec.org/top/top.india.html;
6;[6];Indira Gandhi Institute of Development Research (IGIDR)Mumbai, India;http://edirc.repec.org/data/igidrin.html;Indira Gandhi Institute of Development Research (IGIDR);8;24;19.96;http://ideas.repec.org/top/top.india.html;
7;[7];Department of Economics, Jadavpur UniversityIndia;http://edirc.repec.org/data/dejadin.html;Department of Economics, Jadavpur University;11.61;18;17.36;http://ideas.repec.org/top/top.india.html;
8;[10];Centre for Economic Studies and Planning, Jawaharlal Nehru UniversityNew Delhi, India;http://edirc.repec.org/data/cejnuin.html;Centre for Economic Studies and Planning, Jawaharlal Nehru University;13.03;17;14.17;http://ideas.repec.org/top/top.india.html;
9;[9];Department of Economics, University of BurdwanBurdwan, India;http://edirc.repec.org/data/deburin.html;Department of Economics, University of Burdwan;13.21;8;8;http://ideas.repec.org/top/top.india.html;
9;[8];Business School (IBS), ICFAI UniversityHyderabad, India;http://edirc.repec.org/data/bsicfin.html;Business School (IBS), ICFAI University;13.21;17;16.5;http://ideas.repec.org/top/top.india.html;
11;[11];Madras School of EconomicsChennai, India;http://edirc.repec.org/data/mseacin.html;Madras School of Economics;13.98;15;13.94;http://ideas.repec.org/top/top.india.html;
---;[---];Centre for Development Economics, Delhi School of Economics, University of DelhiDelhi, India;http://edirc.repec.org/data/cdudein.html;Centre for Development Economics, Delhi School of Economics, University of Delhi;15.09;3;2.87;http://ideas.repec.org/top/top.india.html;
12;[12];Indian Institute of ManagementBangalore, India;http://edirc.repec.org/data/iimbain.html;Indian Institute of Management;15.11;14;13.74;http://ideas.repec.org/top/top.india.html;
13;[13];National Council of Applied Economic Research (NCAER)New Delhi, India;http://edirc.repec.org/data/ncaerin.html;National Council of Applied Economic Research (NCAER);15.2;21;19.03;http://ideas.repec.org/top/top.india.html;
14;[15];Indian Institute of ManagementCalcutta, India;http://edirc.repec.org/data/iimcain.html;Indian Institute of Management;17.84;7;7;http://ideas.repec.org/top/top.india.html;
15;[14];Indian Institute of ManagementAhmedabad, India;http://edirc.repec.org/data/iimahin.html;Indian Institute of Management;18.66;27;24.9;http://ideas.repec.org/top/top.india.html;
16;[16];International Initiative for Impact Evaluation (3ie)New Dehli, India;http://edirc.repec.org/data/iiieein.html;International Initiative for Impact Evaluation (3ie);18.7;5;4.5;http://ideas.repec.org/top/top.india.html;
17;[20];Indian School of BusinessHyderabad, India;http://edirc.repec.org/data/isbhyin.html;Indian School of Business;19.77;5;3.95;http://ideas.repec.org/top/top.india.html;
18;[17];Reserve Bank of IndiaMumbai, India;http://edirc.repec.org/data/rbigvin.html;Reserve Bank of India;20.24;18;15.64;http://ideas.repec.org/top/top.india.html;
19;[18];Department of Economics, University of CalcuttaKolkata, India;http://edirc.repec.org/data/decalin.html;Department of Economics, University of Calcutta;21.34;5;4.7;http://ideas.repec.org/top/top.india.html;
20;[21];Centre for Policy Research (CPR)New Delhi, India;http://edirc.repec.org/data/cprinin.html;Centre for Policy Research (CPR);21.4;6;4.01;http://ideas.repec.org/top/top.india.html;
21;[19];Centre for International Trade and Development, Jawaharlal Nehru UniversityNew Delhi, India;http://edirc.repec.org/data/itjnuin.html;Centre for International Trade and Development, Jawaharlal Nehru University;21.75;14;11.1;http://ideas.repec.org/top/top.india.html;
---;[---];Economics and Social Sciences, Indian Institute of ManagementBangalore, India;http://edirc.repec.org/data/esiimin.html;Economics and Social Sciences, Indian Institute of Management;23.57;2;1.99;http://ideas.repec.org/top/top.india.html;
22;[22];Centre for Development Studies (CDS)Thiruvananthapuram, India;http://edirc.repec.org/data/cdsacin.html;Centre for Development Studies (CDS);26.55;15;13.02;http://ideas.repec.org/top/top.india.html;
23;[23];Indian Institute of ManagementLucknow, India;http://edirc.repec.org/data/iimluin.html;Indian Institute of Management;28.86;7;7;http://ideas.repec.org/top/top.india.html;
24;[24];Institute of Economic Growth, University of DelhiDelhi, India;http://edirc.repec.org/data/ieudein.html;Institute of Economic Growth, University of Delhi;28.87;12;8.23;http://ideas.repec.org/top/top.india.html;
25;[25];Institute for Social and Economic Change (ISEC)Bangalore, India;http://edirc.repec.org/data/iseccin.html;Institute for Social and Economic Change (ISEC);31.31;10;10;http://ideas.repec.org/top/top.india.html;
26;[27];Institute of Rural Management (IRMA)Anand, India;http://edirc.repec.org/data/irmaain.html;Institute of Rural Management (IRMA);32.43;5;4.3;http://ideas.repec.org/top/top.india.html;
27;[26];Indian Statistical InstituteBangalore, India;http://edirc.repec.org/data/isibain.html;Indian Statistical Institute;33.09;3;2.75;http://ideas.repec.org/top/top.india.html;
28;[28];Economics, Indian Institute of Technology KanpurKanpur, India;http://edirc.repec.org/data/eiitkin.html;Economics, Indian Institute of Technology Kanpur;34.25;12;11.06;http://ideas.repec.org/top/top.india.html;
29;[31];Department of Management Studies, Indian Institute of ScienceBangalore, India;http://edirc.repec.org/data/dmiscin.html;Department of Management Studies, Indian Institute of Science;34.77;2;2;http://ideas.repec.org/top/top.india.html;
30;[29];Department of Economics, Pondicherry UniversityPuducherry, India;http://edirc.repec.org/data/deponin.html;Department of Economics, Pondicherry University;35.12;5;4;http://ideas.repec.org/top/top.india.html;
---;[---];Centre for Public Policy (CPP), Indian Institute of ManagementBangalore, India;http://edirc.repec.org/data/cpiimin.html;Centre for Public Policy (CPP), Indian Institute of Management;36.03;4;3.75;http://ideas.repec.org/top/top.india.html;
31;[32];Indian Institute of ManagementKozhikode, India;http://edirc.repec.org/data/iikmmin.html;Indian Institute of Management;36.44;6;4.95;http://ideas.repec.org/top/top.india.html;
32;[30];Department of Humanities and Social Sciences, Indian Institute of Technology BombayMumbai, India;http://edirc.repec.org/data/hsiitin.html;Department of Humanities and Social Sciences, Indian Institute of Technology Bombay;37.87;12;10.29;http://ideas.repec.org/top/top.india.html;
33;[35];Indian Institute of ManagementUdaipur, India;http://edirc.repec.org/data/iimudin.html;Indian Institute of Management;38.49;3;3;http://ideas.repec.org/top/top.india.html;
34;[34];National Centre for Agricultural Economics and Policy Research (NCAP)New Delhi, India;http://edirc.repec.org/data/ncaepin.html;National Centre for Agricultural Economics and Policy Research (NCAP);39.46;1;1;http://ideas.repec.org/top/top.india.html;
35;[33];School of Petroleum Management, Pandir Deendayal Petroleum UniversityGandhinagar, India;http://edirc.repec.org/data/ipmgain.html;School of Petroleum Management, Pandir Deendayal Petroleum University;42.01;1;1;http://ideas.repec.org/top/top.india.html;
36;[36];India Resident Mission, Asian Development BankNew Delhi, India;http://edirc.repec.org/data/inadbin.html;India Resident Mission, Asian Development Bank;42.31;2;1.8;http://ideas.repec.org/top/top.india.html;
37;[44];Madras Institute of Development Studies (MIDS)Chennai, India;http://edirc.repec.org/data/midssin.html;Madras Institute of Development Studies (MIDS);45.92;1;1;http://ideas.repec.org/top/top.india.html;
38;[39];Institute for Human Development (IHD)New Delhi, India;http://edirc.repec.org/data/ihdndin.html;Institute for Human Development (IHD);46.74;3;2.13;http://ideas.repec.org/top/top.india.html;
39;[40];Research and Information System for Developing Countries (RIS)New Delhi, India;http://edirc.repec.org/data/risdcin.html;Research and Information System for Developing Countries (RIS);48.29;5;2.29;http://ideas.repec.org/top/top.india.html;
40;[45];Amrut Mody School of Management, Ahmedabad UniversityAhmedabad, India;http://edirc.repec.org/data/smahmin.html;Amrut Mody School of Management, Ahmedabad University;48.93;1;1;http://ideas.repec.org/top/top.india.html;
41;[41];Institute of Economic GrowthNew Delhi, India;http://edirc.repec.org/data/iegggin.html;Institute of Economic Growth;49.38;3;3;http://ideas.repec.org/top/top.india.html;
42;[43];Department of Economics, Shiv Nadar UniversityGautam Budh Nagar, India;http://edirc.repec.org/data/desnuin.html;Department of Economics, Shiv Nadar University;49.62;3;3;http://ideas.repec.org/top/top.india.html;
---;[---];Economics, Indian Institute of ManagementCalcutta, India;http://edirc.repec.org/data/eciicin.html;Economics, Indian Institute of Management;50.49;2;2;http://ideas.repec.org/top/top.india.html;
43;[37];School of Economics, Management and Information Systems, North-Eastern Hill UniversityShillong, India;http://edirc.repec.org/data/senehin.html;School of Economics, Management and Information Systems, North-Eastern Hill University;50.63;6;6;http://ideas.repec.org/top/top.india.html;
44;[38];Faculty of Management Studies, University of DelhiDelhi, India;http://edirc.repec.org/data/fmudein.html;Faculty of Management Studies, University of Delhi;50.99;4;3.12;http://ideas.repec.org/top/top.india.html;
45;[48];Indian Institute of FinanceDelhi, India;http://edirc.repec.org/data/iifgiin.html;Indian Institute of Finance;51.87;2;2;http://ideas.repec.org/top/top.india.html;
46;[46];Department of Economics, Visva Bharati UniversitySantiniketan, India;http://edirc.repec.org/data/devisin.html;Department of Economics, Visva Bharati University;52.78;2;2;http://ideas.repec.org/top/top.india.html;
---;[---];Department of Economics, School of Economics, Management and Information Systems, North-Eastern Hill UniversityShillong, India;http://edirc.repec.org/data/denehin.html;Department of Economics, School of Economics, Management and Information Systems, North-Eastern Hill University;53.12;5;5;http://ideas.repec.org/top/top.india.html;
47;[54];Faculty of Economics, South Asian UniversityDelhi, India;http://edirc.repec.org/data/fesauin.html;Faculty of Economics, South Asian University;53.92;2;0.8;http://ideas.repec.org/top/top.india.html;
1;[1];Department of Economics, Korea UniversitySeoul, South Korea;http://edirc.repec.org/data/deckukr.html;Department of Economics, Korea University;1;25;21.45;http://ideas.repec.org/top/top.southkorea.html;
2;[2];Division of Economics, Seoul National UniversitySeoul, South Korea;http://edirc.repec.org/data/desnukr.html;Division of Economics, Seoul National University;1.73;20;19.89;http://ideas.repec.org/top/top.southkorea.html;
3;[3];College of Economics, Sogang UniversitySeoul, South Korea;http://edirc.repec.org/data/ccsogkr.html;College of Economics, Sogang University;2.77;22;19.06;http://ideas.repec.org/top/top.southkorea.html;
4;[4];College of Business and Economics, Yonsei UniversitySeoul, South Korea;http://edirc.repec.org/data/cbyonkr.html;College of Business and Economics, Yonsei University;3.99;16;14.83;http://ideas.repec.org/top/top.southkorea.html;
---;[---];School of Economics, College of Business and Economics, Yonsei UniversitySeoul, South Korea;http://edirc.repec.org/data/deyonkr.html;School of Economics, College of Business and Economics, Yonsei University;4.28;15;13.84;http://ideas.repec.org/top/top.southkorea.html;
5;[5];School of Economics, Sungkyunkwan UniversitySeoul, South Korea;http://edirc.repec.org/data/seskkkr.html;School of Economics, Sungkyunkwan University;5.81;12;11.36;http://ideas.repec.org/top/top.southkorea.html;
6;[6];Division of Economics, Inha UniversityIncheon, South Korea;http://edirc.repec.org/data/deinhkr.html;Division of Economics, Inha University;7.96;4;3.95;http://ideas.repec.org/top/top.southkorea.html;
7;[7];Economics, Chung-Ang UniversitySeoul, South Korea;http://edirc.repec.org/data/eccaukr.html;Economics, Chung-Ang University;8.33;7;7;http://ideas.repec.org/top/top.southkorea.html;
8;[8];Business School, Korea UniversitySeoul, South Korea;http://edirc.repec.org/data/bskorkr.html;Business School, Korea University;10.15;3;3;http://ideas.repec.org/top/top.southkorea.html;
9;[9];College of Economics and Business Administration, Hanyang UniversityAnsan, South Korea;http://edirc.repec.org/data/cbhaykr.html;College of Economics and Business Administration, Hanyang University;11.7;12;12;http://ideas.repec.org/top/top.southkorea.html;
9;[10];Department of Economics, Kyung Hee UniversitySeoul, South Korea;http://edirc.repec.org/data/dekhukr.html;Department of Economics, Kyung Hee University;11.7;6;5.5;http://ideas.repec.org/top/top.southkorea.html;
11;[11];KAIST Business School, Korea Advanced Institute of Science and Technology (KAIST)Seoul, South Korea;http://edirc.repec.org/data/kaibskr.html;KAIST Business School, Korea Advanced Institute of Science and Technology (KAIST);12.09;5;4.5;http://ideas.repec.org/top/top.southkorea.html;
12;[12];Technology Management, Economics and Policy Program (TEMEP), Seoul National UniversitySeoul, South Korea;http://edirc.repec.org/data/tesnukr.html;Technology Management, Economics and Policy Program (TEMEP), Seoul National University;13.61;9;6.8;http://ideas.repec.org/top/top.southkorea.html;
13;[13];College of Economics and Finance, Hanyang UniversitySeoul, South Korea;http://edirc.repec.org/data/cehaykr.html;College of Economics and Finance, Hanyang University;13.87;4;3.91;http://ideas.repec.org/top/top.southkorea.html;
14;[14];Korea Development Institute (KDI)Seoul, South Korea;http://edirc.repec.org/data/kdiiikr.html;Korea Development Institute (KDI);14.59;4;4;http://ideas.repec.org/top/top.southkorea.html;
15;[15];Business School, Seoul National UniversitySeoul, South Korea;http://edirc.repec.org/data/bssnukr.html;Business School, Seoul National University;14.87;1;1;http://ideas.repec.org/top/top.southkorea.html;
---;[---];KAIST Graduate School of Management (KGSM), KAIST Business School, Korea Advanced Institute of Science and Technology (KAIST)Seoul, South Korea;http://edirc.repec.org/data/kagsmkr.html;KAIST Graduate School of Management (KGSM), KAIST Business School, Korea Advanced Institute of Science and Technology (KAIST);15.47;3;3;http://ideas.repec.org/top/top.southkorea.html;
---;[---];School of Public Policy and Management, Korea Development Institute (KDI)Seoul, South Korea;http://edirc.repec.org/data/spkdikr.html;School of Public Policy and Management, Korea Development Institute (KDI);19.04;2;2;http://ideas.repec.org/top/top.southkorea.html;
16;[16];Institute of Economic Research, Korea UniversitySeoul, South Korea;http://edirc.repec.org/data/ierkukr.html;Institute of Economic Research, Korea University;20.2;3;1.68;http://ideas.repec.org/top/top.southkorea.html;
17;[19];Department of International Trade and Business, Kangwon National UniversityKangwon, South Korea;http://edirc.repec.org/data/dikawkr.html;Department of International Trade and Business, Kangwon National University;20.94;1;1;http://ideas.repec.org/top/top.southkorea.html;
18;[17];Graduate School of Public Administration, Seoul National UniversitySeoul, South Korea;http://edirc.repec.org/data/gpsnukr.html;Graduate School of Public Administration, Seoul National University;21.31;1;1;http://ideas.repec.org/top/top.southkorea.html;
19;[20];Department of Economics, Pusan National UniversityPusan, South Korea;http://edirc.repec.org/data/depnukr.html;Department of Economics, Pusan National University;21.68;3;2.85;http://ideas.repec.org/top/top.southkorea.html;
20;[21];Division of International Studies, Korea UniversitySeoul, South Korea;http://edirc.repec.org/data/dikorkr.html;Division of International Studies, Korea University;21.87;3;3;http://ideas.repec.org/top/top.southkorea.html;
21;[18];College of Economics and Business, Kookmin UniversitySeoul, South Korea;http://edirc.repec.org/data/cekookr.html;College of Economics and Business, Kookmin University;22.01;2;2;http://ideas.repec.org/top/top.southkorea.html;
22;[25];College of Economics and Management, Chungnam National UniversityTaejon, South Korea;http://edirc.repec.org/data/cecnukr.html;College of Economics and Management, Chungnam National University;22.35;1;1;http://ideas.repec.org/top/top.southkorea.html;
---;[---];Department of International Trade, College of Economics and Management, Chungnam National UniversityTaejon, South Korea;http://edirc.repec.org/data/dicnukr.html;Department of International Trade, College of Economics and Management, Chungnam National University;22.35;1;1;http://ideas.repec.org/top/top.southkorea.html;
